S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
2564,USA,2019,Malware,Retail,"$45,420,000","969,699",Hacker Group,Social Engineering,Firewall,63
2565,Russia,2023,Malware,Communications,"$95,000,000","338,867",Nation-state,Unpatched Software,AI-based Detection,34
2566,Japan,2018,Ransomware,Government,"$44,980,000","951,249",Hacker Group,Weak Passwords,VPN,25
2567,USA,2022,Ransomware,IT,"$50,400,000","34,584",Insider,Zero-day,Firewall,43
2568,Brazil,2021,Malware,Education,"$74,370,000","298,836",Hacker Group,Social Engineering,Encryption,29
2569,Brazil,2018,Malware,Retail,"$27,820,000","526,161",Unknown,Unpatched Software,AI-based Detection,12
2570,Brazil,2020,Phishing,Government,"$76,950,000","476,308",Insider,Social Engineering,VPN,44
2571,China,2017,SQL Injection,Banking,"$29,390,000","206,897",Unknown,Zero-day,Encryption,18
2572,Japan,2022,Malware,IT,"$1,920,000","2,653",Nation-state,Unpatched Software,AI-based Detection,56
2573,UK,2024,Ransomware,Healthcare,"$90,370,000","540,353",Hacker Group,Unpatched Software,Antivirus,68
2574,Germany,2015,Phishing,Retail,"$84,770,000","779,922",Nation-state,Zero-day,Antivirus,50
2575,Germany,2016,Ransomware,Education,"$24,400,000","908,906",Hacker Group,Weak Passwords,AI-based Detection,46
2576,Russia,2021,Man in the Middle,Healthcare,"$28,340,000","446,741",Nation-state,Weak Passwords,Firewall,20
2577,India,2023,Phishing,Education,"$9,950,000","317,488",Insider,Social Engineering,VPN,46
2578,Brazil,2024,Phishing,IT,"$72,330,000","182,613",Unknown,Unpatched Software,AI-based Detection,26
2579,UK,2018,Ransomware,IT,"$61,420,000","211,305",Hacker Group,Zero-day,Encryption,27
2580,UK,2024,DDoS,Government,"$68,830,000","60,379",Hacker Group,Unpatched Software,Firewall,32
2581,Russia,2020,Ransomware,Healthcare,"$11,110,000","785,179",Unknown,Weak Passwords,VPN,2
2582,Russia,2022,SQL Injection,Communications,"$1,990,000","652,682",Insider,Social Engineering,Encryption,46
2583,Brazil,2022,SQL Injection,Banking,"$5,850,000","52,649",Nation-state,Unpatched Software,Encryption,57
2584,Germany,2024,Man in the Middle,Government,"$45,750,000","865,871",Insider,Weak Passwords,Antivirus,58
2585,Russia,2022,DDoS,Retail,"$93,710,000","474,552",Nation-state,Zero-day,Encryption,20
2586,France,2024,SQL Injection,Healthcare,"$5,700,000","400,840",Insider,Social Engineering,VPN,57
2587,USA,2020,Phishing,Education,"$60,570,000","275,819",Nation-state,Social Engineering,Firewall,69
2588,Brazil,2021,DDoS,Retail,"$89,790,000","454,088",Hacker Group,Social Engineering,VPN,70
2589,France,2018,Phishing,Government,"$30,680,000","338,619",Hacker Group,Unpatched Software,Antivirus,68
2590,Brazil,2018,Malware,Banking,"$31,560,000","940,038",Hacker Group,Zero-day,Antivirus,24
2591,USA,2017,DDoS,Government,"$98,730,000","17,805",Nation-state,Weak Passwords,Antivirus,31
2592,Japan,2020,SQL Injection,Communications,"$92,130,000","244,933",Nation-state,Social Engineering,AI-based Detection,37
2593,USA,2016,Phishing,Retail,"$71,140,000","198,602",Unknown,Zero-day,Firewall,18
2594,India,2023,DDoS,Retail,"$73,850,000","504,861",Unknown,Weak Passwords,Antivirus,65
2595,UK,2016,Malware,Communications,"$91,240,000","695,618",Nation-state,Social Engineering,Antivirus,14
2596,China,2022,Man in the Middle,Healthcare,"$5,400,000","270,732",Unknown,Weak Passwords,Firewall,31
2597,UK,2015,Phishing,Retail,"$77,580,000","270,326",Nation-state,Social Engineering,Firewall,24
2598,Russia,2017,Man in the Middle,Government,"$80,950,000","827,534",Hacker Group,Unpatched Software,Firewall,29
2599,Germany,2020,Man in the Middle,Retail,"$46,070,000","32,499",Insider,Zero-day,Firewall,14
2600,Russia,2016,Malware,Communications,"$52,200,000","279,065",Hacker Group,Unpatched Software,VPN,62
2601,Germany,2017,Ransomware,Communications,"$49,560,000","119,598",Insider,Unpatched Software,Encryption,43
2602,Germany,2016,SQL Injection,Education,"$61,780,000","387,500",Nation-state,Weak Passwords,AI-based Detection,30
2603,Brazil,2018,Phishing,Education,"$66,070,000","656,031",Nation-state,Social Engineering,Encryption,36
2604,China,2022,Ransomware,Education,"$85,720,000","637,259",Unknown,Zero-day,VPN,57
2605,Russia,2023,SQL Injection,Education,"$980,000","623,106",Nation-state,Weak Passwords,Firewall,43
2606,India,2015,DDoS,Education,"$21,740,000","513,867",Unknown,Zero-day,Firewall,34
2607,Australia,2023,Man in the Middle,Healthcare,"$7,540,000","710,871",Insider,Zero-day,Firewall,55
2608,India,2020,Malware,Healthcare,"$7,080,000","875,225",Unknown,Zero-day,Antivirus,31
2609,Germany,2024,Malware,Retail,"$71,200,000","989,625",Unknown,Social Engineering,Firewall,53
2610,China,2016,DDoS,Education,"$89,080,000","210,433",Insider,Weak Passwords,AI-based Detection,63
2611,USA,2018,Malware,IT,"$26,310,000","709,153",Hacker Group,Weak Passwords,VPN,45
2612,France,2020,Ransomware,IT,"$21,110,000","568,832",Nation-state,Social Engineering,Firewall,12
2613,China,2022,Phishing,Retail,"$51,760,000","355,545",Unknown,Weak Passwords,Encryption,68
2614,Germany,2019,Phishing,Education,"$90,910,000","112,635",Insider,Weak Passwords,Firewall,55
2615,Brazil,2015,SQL Injection,Banking,"$89,390,000","988,268",Unknown,Zero-day,VPN,44
2616,India,2021,Malware,Education,"$65,870,000","357,399",Nation-state,Zero-day,Encryption,2
2617,Japan,2018,Man in the Middle,Government,"$78,160,000","512,258",Hacker Group,Weak Passwords,Encryption,32
2618,Australia,2024,Ransomware,Healthcare,"$24,210,000","180,760",Nation-state,Weak Passwords,Encryption,34
2619,USA,2023,Man in the Middle,Retail,"$81,160,000","691,638",Unknown,Zero-day,Antivirus,17
2620,Russia,2019,Ransomware,IT,"$80,180,000","123,757",Insider,Social Engineering,Encryption,54
2621,Germany,2018,DDoS,Communications,"$70,000,000","702,285",Hacker Group,Zero-day,AI-based Detection,46
2622,Australia,2022,DDoS,Education,"$9,730,000","907,708",Unknown,Unpatched Software,AI-based Detection,44
2623,Australia,2015,DDoS,Healthcare,"$4,490,000","713,160",Hacker Group,Unpatched Software,Encryption,26
2624,USA,2022,Malware,Banking,"$46,750,000","239,200",Nation-state,Social Engineering,Encryption,8
2625,China,2016,DDoS,Healthcare,"$63,150,000","500,521",Nation-state,Weak Passwords,Encryption,27
2626,India,2015,Phishing,IT,"$25,470,000","741,259",Hacker Group,Unpatched Software,Antivirus,18
2627,Japan,2021,SQL Injection,Education,"$3,970,000","604,843",Insider,Unpatched Software,AI-based Detection,40
2628,UK,2023,SQL Injection,Education,"$19,170,000","697,610",Insider,Weak Passwords,Encryption,18
2629,Germany,2022,SQL Injection,IT,"$58,350,000","730,850",Hacker Group,Weak Passwords,AI-based Detection,27
2630,Australia,2018,SQL Injection,IT,"$65,080,000","417,807",Insider,Social Engineering,Firewall,46
2631,India,2020,Malware,Healthcare,"$3,740,000","58,205",Hacker Group,Unpatched Software,Encryption,63
2632,India,2016,SQL Injection,Healthcare,"$33,110,000","830,670",Unknown,Social Engineering,Antivirus,11
2633,Brazil,2024,Ransomware,Government,"$57,700,000","691,990",Insider,Weak Passwords,Antivirus,41
2634,USA,2015,Ransomware,Retail,"$74,680,000","498,089",Insider,Weak Passwords,Encryption,18
2635,China,2015,Ransomware,IT,"$86,820,000","748,040",Insider,Weak Passwords,Firewall,18
2636,Brazil,2018,Ransomware,Healthcare,"$4,510,000","909,979",Nation-state,Social Engineering,VPN,65
2637,Australia,2019,Man in the Middle,Banking,"$27,000,000","286,038",Nation-state,Social Engineering,Encryption,43
2638,Russia,2021,SQL Injection,Retail,"$82,880,000","479,586",Insider,Zero-day,AI-based Detection,8
2639,Australia,2020,Phishing,Banking,"$42,030,000","454,763",Hacker Group,Social Engineering,Firewall,14
2640,UK,2019,Phishing,Communications,"$33,850,000","60,183",Nation-state,Unpatched Software,AI-based Detection,17
2641,Russia,2018,Phishing,Education,"$94,600,000","596,801",Nation-state,Weak Passwords,Antivirus,70
2642,China,2021,Ransomware,IT,"$71,900,000","698,786",Hacker Group,Zero-day,Antivirus,21
2643,Japan,2021,DDoS,Communications,"$94,230,000","441,749",Nation-state,Unpatched Software,AI-based Detection,55
2644,China,2018,SQL Injection,Healthcare,"$76,400,000","966,102",Hacker Group,Social Engineering,Firewall,1
2645,India,2017,Malware,Healthcare,"$66,290,000","430,200",Unknown,Zero-day,Antivirus,48
2646,UK,2023,Ransomware,Banking,"$49,890,000","638,668",Nation-state,Social Engineering,Encryption,47
2647,UK,2019,DDoS,Healthcare,"$81,910,000","127,817",Nation-state,Weak Passwords,Antivirus,66
2648,Brazil,2017,Man in the Middle,Government,"$14,540,000","491,794",Nation-state,Zero-day,Encryption,4
2649,Germany,2024,Ransomware,IT,"$33,440,000","737,958",Hacker Group,Social Engineering,Encryption,54
2650,Australia,2017,DDoS,Education,"$31,740,000","724,207",Hacker Group,Weak Passwords,Firewall,54
2651,Germany,2018,SQL Injection,Healthcare,"$78,110,000","451,780",Hacker Group,Unpatched Software,VPN,28
2652,India,2016,Man in the Middle,Healthcare,"$8,250,000","875,227",Unknown,Zero-day,AI-based Detection,20
2653,Brazil,2018,Malware,Banking,"$17,520,000","334,945",Nation-state,Weak Passwords,Antivirus,33
2654,Australia,2023,DDoS,IT,"$81,890,000","525,978",Unknown,Weak Passwords,Antivirus,12
2655,UK,2016,Phishing,Retail,"$37,290,000","761,252",Insider,Weak Passwords,VPN,57
2656,China,2017,Phishing,Government,"$38,870,000","168,075",Insider,Social Engineering,AI-based Detection,52
2657,Japan,2015,Ransomware,Banking,"$6,570,000","443,408",Hacker Group,Weak Passwords,Encryption,71
2658,UK,2018,DDoS,IT,"$17,990,000","60,917",Unknown,Zero-day,VPN,1
2659,USA,2017,Man in the Middle,Banking,"$59,540,000","839,892",Nation-state,Weak Passwords,Encryption,20
2660,Brazil,2021,Ransomware,Government,"$72,140,000","673,933",Unknown,Zero-day,AI-based Detection,22
2661,USA,2021,Ransomware,Education,"$84,640,000","534,283",Insider,Social Engineering,VPN,49
2662,UK,2022,DDoS,Education,"$32,200,000","49,715",Insider,Unpatched Software,Encryption,72
2663,China,2022,SQL Injection,Banking,"$1,160,000","297,461",Hacker Group,Zero-day,Firewall,15
2664,Russia,2021,SQL Injection,Healthcare,"$48,710,000","861,410",Unknown,Social Engineering,VPN,7
2665,Germany,2016,DDoS,Communications,"$14,280,000","547,178",Insider,Social Engineering,Firewall,45
2666,Japan,2020,Ransomware,Banking,"$37,380,000","273,660",Insider,Weak Passwords,Firewall,6
2667,Brazil,2023,Phishing,IT,"$23,010,000","195,113",Unknown,Unpatched Software,Encryption,4
2668,China,2018,Man in the Middle,Banking,"$9,770,000","881,294",Insider,Unpatched Software,AI-based Detection,3
2669,USA,2024,Phishing,Government,"$58,640,000","146,937",Hacker Group,Social Engineering,Firewall,10
2670,Russia,2016,Phishing,Healthcare,"$11,290,000","72,191",Unknown,Weak Passwords,Antivirus,3
2671,Australia,2022,Man in the Middle,Government,"$90,650,000","898,589",Hacker Group,Zero-day,AI-based Detection,58
2672,Japan,2024,Malware,Communications,"$30,660,000","430,306",Nation-state,Weak Passwords,VPN,67
2673,Australia,2022,DDoS,IT,"$27,020,000","835,814",Insider,Weak Passwords,Encryption,40
2674,Russia,2015,SQL Injection,IT,"$56,070,000","837,322",Insider,Zero-day,AI-based Detection,25
2675,Russia,2019,SQL Injection,Communications,"$10,880,000","299,403",Unknown,Unpatched Software,Antivirus,23
2676,USA,2024,Man in the Middle,Government,"$96,130,000","482,492",Unknown,Social Engineering,Encryption,17
2677,China,2022,DDoS,IT,"$88,610,000","777,010",Hacker Group,Weak Passwords,VPN,34
2678,Germany,2021,DDoS,IT,"$73,500,000","806,210",Unknown,Weak Passwords,Antivirus,5
2679,China,2024,Malware,Government,"$1,170,000","281,616",Nation-state,Unpatched Software,Encryption,6
2680,India,2023,Ransomware,Banking,"$42,020,000","827,952",Hacker Group,Unpatched Software,AI-based Detection,21
2681,USA,2020,Malware,Retail,"$59,150,000","179,586",Hacker Group,Social Engineering,VPN,27
2682,UK,2022,Phishing,Retail,"$26,630,000","725,905",Hacker Group,Zero-day,VPN,54
2683,USA,2016,DDoS,Healthcare,"$30,490,000","723,411",Hacker Group,Weak Passwords,AI-based Detection,40
2684,India,2024,Malware,Banking,"$14,010,000","141,437",Nation-state,Weak Passwords,Firewall,10
2685,USA,2019,DDoS,Government,"$49,880,000","441,744",Unknown,Weak Passwords,Firewall,40
2686,Japan,2016,Malware,Communications,"$4,840,000","936,738",Insider,Weak Passwords,Antivirus,8
2687,USA,2024,Malware,Education,"$75,510,000","822,636",Insider,Social Engineering,Antivirus,63
2688,Australia,2018,Malware,Banking,"$68,320,000","843,891",Unknown,Weak Passwords,Antivirus,31
2689,Russia,2020,DDoS,Healthcare,"$6,370,000","82,576",Nation-state,Weak Passwords,VPN,40
2690,France,2024,Ransomware,Banking,"$97,530,000","759,522",Unknown,Weak Passwords,VPN,39
2691,UK,2024,Ransomware,Banking,"$12,220,000","860,343",Hacker Group,Weak Passwords,Antivirus,42
2692,Australia,2023,Malware,Government,"$55,720,000","14,483",Nation-state,Weak Passwords,Firewall,36
2693,Japan,2023,Malware,Communications,"$67,770,000","871,255",Hacker Group,Social Engineering,AI-based Detection,24
2694,India,2019,Man in the Middle,Government,"$98,860,000","48,647",Unknown,Zero-day,Encryption,48
2695,Australia,2024,Phishing,Education,"$74,750,000","109,907",Insider,Social Engineering,VPN,5
2696,Brazil,2022,Man in the Middle,Retail,"$89,110,000","749,386",Unknown,Unpatched Software,Firewall,16
2697,Russia,2018,Malware,Communications,"$89,790,000","900,723",Insider,Zero-day,Firewall,32
2698,France,2024,Phishing,IT,"$49,750,000","943,151",Nation-state,Zero-day,VPN,66
2699,USA,2019,Malware,Education,"$1,050,000","93,580",Nation-state,Unpatched Software,VPN,21
2700,China,2019,Malware,Retail,"$26,660,000","303,469",Insider,Social Engineering,VPN,60
2701,USA,2024,Malware,Communications,"$710,000","28,436",Unknown,Unpatched Software,Encryption,66
2702,France,2015,Phishing,Healthcare,"$41,920,000","383,484",Unknown,Unpatched Software,VPN,52
2703,Germany,2017,DDoS,Communications,"$40,050,000","27,446",Insider,Social Engineering,AI-based Detection,13
2704,Japan,2020,Phishing,Healthcare,"$73,130,000","39,276",Nation-state,Unpatched Software,Firewall,29
2705,Brazil,2024,SQL Injection,IT,"$33,940,000","88,304",Nation-state,Zero-day,Encryption,41
2706,Brazil,2019,Malware,Government,"$4,950,000","281,096",Nation-state,Zero-day,AI-based Detection,2
2707,Australia,2018,SQL Injection,Banking,"$50,230,000","793,612",Nation-state,Zero-day,Firewall,12
2708,UK,2016,Malware,Banking,"$49,920,000","848,188",Nation-state,Unpatched Software,VPN,12
2709,India,2016,Man in the Middle,IT,"$70,240,000","374,767",Unknown,Unpatched Software,Antivirus,67
2710,France,2019,DDoS,Communications,"$85,650,000","835,349",Nation-state,Unpatched Software,VPN,8
2711,Japan,2020,SQL Injection,Banking,"$64,250,000","877,560",Nation-state,Weak Passwords,Encryption,61
2712,Germany,2016,Man in the Middle,Government,"$58,930,000","249,279",Unknown,Weak Passwords,VPN,58
2713,Japan,2017,Ransomware,Government,"$9,240,000","126,143",Unknown,Weak Passwords,Antivirus,35
2714,France,2021,Malware,Government,"$50,840,000","7,910",Unknown,Unpatched Software,Firewall,19
2715,Brazil,2020,SQL Injection,Education,"$85,120,000","732,802",Nation-state,Weak Passwords,Antivirus,62
2716,USA,2019,DDoS,Communications,"$12,130,000","426,349",Hacker Group,Unpatched Software,Encryption,44
2717,China,2019,Man in the Middle,Communications,"$6,240,000","739,538",Nation-state,Zero-day,Encryption,5
2718,UK,2016,SQL Injection,Retail,"$17,980,000","251,689",Nation-state,Social Engineering,Antivirus,1
2719,Germany,2015,Malware,Education,"$75,200,000","461,291",Insider,Social Engineering,AI-based Detection,5
2720,UK,2021,Man in the Middle,Banking,"$71,880,000","757,595",Insider,Weak Passwords,VPN,40
2721,Japan,2024,Man in the Middle,Retail,"$12,620,000","970,866",Hacker Group,Weak Passwords,Firewall,13
2722,Brazil,2021,Malware,Government,"$79,560,000","334,916",Nation-state,Weak Passwords,Firewall,35
2723,UK,2019,Man in the Middle,IT,"$35,370,000","384,185",Insider,Weak Passwords,Firewall,71
2724,Australia,2016,Phishing,Education,"$98,720,000","6,670",Nation-state,Social Engineering,VPN,24
2725,France,2016,Man in the Middle,IT,"$62,080,000","801,177",Nation-state,Social Engineering,Encryption,11
2726,Russia,2016,Ransomware,Banking,"$28,790,000","183,711",Insider,Zero-day,Encryption,50
2727,France,2015,Malware,Retail,"$83,450,000","573,985",Insider,Weak Passwords,AI-based Detection,45
2728,Japan,2018,DDoS,Healthcare,"$88,040,000","675,172",Nation-state,Weak Passwords,Antivirus,43
2729,Germany,2018,DDoS,Government,"$35,760,000","716,770",Insider,Unpatched Software,Encryption,2
2730,Australia,2016,DDoS,IT,"$43,190,000","825,866",Unknown,Weak Passwords,Firewall,23
2731,USA,2019,Ransomware,Healthcare,"$92,430,000","206,631",Unknown,Zero-day,AI-based Detection,64
2732,Germany,2016,Phishing,Banking,"$40,180,000","153,211",Nation-state,Weak Passwords,Encryption,43
2733,Japan,2018,SQL Injection,IT,"$48,910,000","322,255",Nation-state,Zero-day,AI-based Detection,41
2734,China,2021,Ransomware,Communications,"$44,840,000","16,106",Nation-state,Weak Passwords,Firewall,29
2735,USA,2021,Man in the Middle,Education,"$51,430,000","640,851",Unknown,Zero-day,VPN,11
2736,Japan,2022,Phishing,Banking,"$12,420,000","570,853",Unknown,Unpatched Software,Encryption,4
2737,USA,2023,SQL Injection,Banking,"$98,910,000","995,462",Unknown,Unpatched Software,Firewall,33
2738,Russia,2015,Ransomware,Communications,"$64,680,000","716,832",Hacker Group,Social Engineering,VPN,67
2739,USA,2015,Malware,Retail,"$41,340,000","677,462",Unknown,Unpatched Software,AI-based Detection,45
2740,France,2020,DDoS,IT,"$52,090,000","362,499",Insider,Unpatched Software,Encryption,4
2741,India,2023,DDoS,Retail,"$26,010,000","274,512",Insider,Weak Passwords,AI-based Detection,69
2742,Germany,2017,Malware,Government,"$63,970,000","590,555",Nation-state,Social Engineering,AI-based Detection,27
2743,Australia,2024,Phishing,Communications,"$42,280,000","297,456",Nation-state,Zero-day,VPN,20
2744,Russia,2015,Ransomware,Government,"$2,730,000","465,465",Nation-state,Unpatched Software,Encryption,60
2745,India,2023,Man in the Middle,IT,"$58,900,000","24,387",Hacker Group,Unpatched Software,Encryption,29
2746,France,2020,Man in the Middle,Education,"$35,120,000","871,001",Nation-state,Zero-day,Antivirus,39
